rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp
437	appear	v	221287	222.84	0.01	0.00	114874	0.97
438	mind	n	220441	221.99	0.03	0.01	106193	0.98
439	class	n	219160	220.70	0.09	0.01	77006	0.96
440	police	n	219041	220.58	0.19	0.01	59422	0.93
441	use	n	218006	219.54	0.04	0.00	86433	0.92
442	effect	n	217999	219.53	0.04	0.00	82486	0.92
443	season	n	217695	219.22	0.06	0.01	69473	0.91
444	tax	n	217131	218.66	0.05	0.01	44623	0.93
445	heart	n	216345	217.87	0.08	0.01	95536	0.98
446	son	n	216216	217.74	0.10	0.01	77983	0.99
447	art	n	215981	217.50	0.29	0.02	59156	0.94
448	possible	j	213803	215.31	0.02	0.00	114860	0.97
449	serve	v	213511	215.01	0.08	0.02	101964	0.96
450	break	v	213364	214.86	0.05	0.01	112062	0.99
451	although	c	212390	213.88	0.53	0.00	103863	0.94
452	end	v	212174	213.66	0.09	0.07	117691	0.97
453	market	n	210848	212.33	0.06	0.01	67782	0.95
454	even	c	210702	212.18	0.26	0.00	117733	0.97
455	air	n	210307	211.78	0.21	0.03	86402	0.97
456	force	n	210010	211.49	0.17	0.00	78196	0.96
457	require	v	209616	211.09	0.01	0.00	96762	0.94
458	foot	n	209334	210.80	0.02	0.01	85190	0.95
459	up	i	209243	210.71	0.05	0.01	116461	0.98
460	listen	v	208819	210.29	0.25	0.01	85732	0.97
461	agree	v	208506	209.97	0.03	0.00	99513	0.96
462	according	i	208405	209.87	0.33	0.00	111296	0.94
463	anyone	p	207907	209.37	0.10	0.01	104697	0.97
464	baby	n	207577	209.04	0.12	0.01	60141	0.97
465	wrong	j	206856	208.31	0.04	0.01	91741	0.98
466	love	n	206700	208.15	0.13	0.01	78059	0.98
467	cut	v	205886	207.33	0.13	0.06	95917	0.97
468	decide	v	205447	206.89	0.02	0.00	114381	0.98
469	republican	n	204793	206.23	0.97	0.00	41933	0.90
470	full	j	204252	205.69	0.05	0.01	116773	0.98
471	behind	i	203530	204.96	0.06	0.01	105274	0.95
472	pass	v	203033	204.46	0.03	0.00	103389	0.98
473	interest	n	202642	204.07	0.03	0.00	90553	0.95
474	sometimes	r	201833	203.25	0.30	0.00	106284	0.99
475	security	n	201542	202.96	0.30	0.01	66989	0.96
476	eat	v	201315	202.73	0.06	0.01	75748	0.98
477	report	v	201020	202.43	0.02	0.00	88806	0.94
478	control	n	200879	202.29	0.09	0.01	85573	0.96
479	rate	n	200828	202.24	0.02	0.00	66229	0.94
480	local	j	200668	202.08	0.03	0.00	92046	0.96
481	suggest	v	200560	201.97	0.01	0.00	95759	0.95
482	report	n	200188	201.59	0.12	0.01	84743	0.96
483	nation	n	200021	201.43	0.24	0.03	77821	0.95
484	sell	v	198982	200.38	0.03	0.01	86812	0.97
485	action	n	198530	199.92	0.07	0.01	87981	0.96
486	support	v	198185	199.58	0.03	0.00	93003	0.95
487	wife	n	197306	198.69	0.03	0.01	76847	0.98
488	decision	n	196426	197.81	0.02	0.00	87248	0.96
489	receive	v	196239	197.62	0.01	0.00	100721	0.96
490	value	n	195639	197.01	0.04	0.00	70986	0.93
491	base	v	195474	196.85	0.08	0.00	96585	0.94
492	pick	v	195443	196.82	0.06	0.01	101557	0.98
493	phone	n	194941	196.31	0.05	0.01	70758	0.98
494	thanks	n	194839	196.21	0.61	0.01	79910	0.95
495	event	n	194748	196.12	0.04	0.01	88946	0.96
496	drive	v	194360	195.73	0.05	0.01	95630	0.98
497	strong	j	193876	195.24	0.03	0.00	106278	0.98
498	reach	v	193684	195.04	0.02	0.00	106103	0.96
499	remain	v	193577	194.94	0.01	0.00	108549	0.96
500	explain	v	193276	194.63	0.03	0.00	101360	0.98
501	site	n	193251	194.61	0.04	0.01	71087	0.95
502	hit	v	192969	194.32	0.05	0.01	94643	0.98
503	pull	v	192457	193.81	0.06	0.01	89134	0.94
504	church	n	191872	193.22	0.33	0.01	42901	0.96
505	model	n	191448	192.79	0.08	0.01	59228	0.91
506	perhaps	r	191398	192.74	0.33	0.00	97379	0.98
507	relationship	n	191344	192.69	0.02	0.00	72863	0.94
508	six	m	191200	192.54	0.12	0.01	109202	0.98
509	fine	j	190779	192.12	0.17	0.01	85266	0.97
510	movie	n	190773	192.11	0.05	0.01	57204	0.97
511	field	n	190489	191.83	0.07	0.01	82754	0.97
512	raise	v	190353	191.69	0.03	0.00	101400	0.98
513	less	r	190003	191.34	0.02	0.00	102498	0.96
514	player	n	189280	190.61	0.07	0.01	56431	0.92
515	couple	n	189272	190.60	0.03	0.01	96022	0.98
516	million	m	188521	189.85	0.02	0.00	59306	0.85
517	themselves	p	188414	189.74	0.00	0.00	99649	0.97
518	record	n	187057	188.37	0.09	0.01	82150	0.96
519	especially	r	186130	187.38	0.09	0.00	109572	0.97
520	difference	n	185310	186.61	0.02	0.00	82363	0.94
521	light	n	185287	186.59	0.08	0.01	77051	0.95
522	development	n	185238	186.54	0.13	0.00	67476	0.91
523	federal	j	185144	186.44	0.25	0.00	60851	0.94
524	former	d	185057	186.36	0.08	0.01	94900	0.94
525	role	n	184483	185.78	0.02	0.00	83178	0.94
526	pretty	r	183711	185.00	0.07	0.01	92183	0.97
527	myself	p	183232	184.52	0.01	0.01	79612	0.97
528	view	n	182417	183.70	0.07	0.02	85003	0.96
529	price	n	181918	183.20	0.06	0.01	63203	0.95
530	effort	n	181751	183.03	0.01	0.00	94766	0.95
531	nice	j	181568	182.84	0.20	0.02	77109	0.96
532	quite	r	181432	182.71	0.05	0.00	97539	0.98
533	along	i	181372	182.65	0.07	0.00	106527	0.97
534	voice	n	181328	182.60	0.08	0.03	69628	0.92
535	finally	r	181233	182.51	0.30	0.01	101837	0.98
536	department	n	181181	182.45	0.62	0.01	76792	0.95
537	either	r	181133	182.41	0.05	0.00	104649	0.98
538	toward	i	180784	182.05	0.02	0.00	83958	0.93
539	leader	n	180573	181.84	0.08	0.01	76293	0.95
540	because	i	178859	180.12	0.12	0.00	105537	0.97
541	photo	n	177976	179.23	0.51	0.35	62039	0.91
542	wear	v	177786	179.04	0.03	0.01	78731	0.96
543	space	n	177126	178.37	0.11	0.01	68915	0.97
544	project	n	177076	178.32	0.13	0.01	68142	0.95
545	return	v	176787	178.03	0.04	0.00	96145	0.97
546	position	n	176578	177.82	0.01	0.00	84422	0.97
547	special	j	176515	177.76	0.15	0.02	92813	0.98
548	million	n	175586	176.82	0.03	0.01	63441	0.90
549	film	n	175442	176.67	0.07	0.01	42777	0.96
550	need	n	175440	176.67	0.02	0.00	89474	0.95
551	major	j	175432	176.66	0.02	0.00	96796	0.96
552	type	n	173975	175.20	0.06	0.01	81774	0.95
553	town	n	173905	175.13	0.07	0.01	73680	0.98
554	article	n	173819	175.04	0.10	0.01	66892	0.93
555	road	n	173413	174.63	0.20	0.01	74747	0.97
556	form	n	173161	174.38	0.03	0.00	79260	0.94
557	chance	n	172820	174.03	0.02	0.01	100005	0.99
558	drug	n	172756	173.97	0.09	0.01	46130	0.95
559	economic	j	172153	173.36	0.09	0.00	54120	0.92
560	situation	n	171026	172.23	0.02	0.01	85461	0.97
561	choose	v	170716	171.92	0.05	0.01	93806	0.97
562	practice	n	170654	171.85	0.06	0.01	68579	0.91
563	cause	v	170629	171.83	0.05	0.00	88913	0.97
564	happy	j	170573	171.77	0.12	0.01	83484	0.98
565	science	n	170488	171.69	0.30	0.02	55080	0.94
566	join	v	170302	171.50	0.09	0.01	95302	0.95
567	teach	v	169673	170.87	0.06	0.01	71917	0.96
568	early	r	169653	170.85	0.12	0.01	106951	0.97
569	develop	v	168894	170.08	0.02	0.00	81169	0.93
570	share	v	168892	170.08	0.08	0.00	95852	0.96
571	yourself	p	168841	170.03	0.02	0.01	77132	0.97
572	carry	v	168820	170.01	0.02	0.00	92824	0.98
573	clear	j	168587	169.77	0.03	0.00	96846	0.98
574	brother	n	167417	168.59	0.14	0.01	61723	0.98
575	matter	n	167351	168.53	0.03	0.01	89711	0.98
576	dead	j	167302	168.48	0.09	0.01	67652	0.97
577	image	n	167053	168.23	0.13	0.02	63665	0.95
578	star	n	167036	168.21	0.26	0.03	65798	0.96
579	cost	n	166775	167.95	0.03	0.00	62407	0.95
580	simply	r	166556	167.73	0.04	0.00	92280	0.96
581	post	n	166265	167.43	0.26	0.01	68429	0.91
582	society	n	165769	166.93	0.22	0.01	61903	0.94
583	picture	n	165703	166.87	0.06	0.01	77203	0.98
584	piece	n	165538	166.70	0.02	0.01	85650	0.98
585	paper	n	165070	166.23	0.06	0.01	71038	0.97
586	energy	n	164622	165.78	0.13	0.01	54682	0.95
587	personal	j	164270	165.42	0.05	0.01	85886	0.97
588	building	n	164119	165.27	0.09	0.01	69998	0.97
589	military	j	163555	164.70	0.06	0.00	47003	0.94
590	open	j	163231	154.37	0.13	0.01	84136	0.98
591	doctor	n	163129	164.28	0.19	0.01	51638	0.98
592	activity	n	162943	164.09	0.04	0.00	62778	0.91
593	exactly	r	162663	163.81	0.15	0.01	88195	0.97
594	american	n	162614	163.76	0.97	0.00	63258	0.95
595	media	n	162177	163.32	0.11	0.01	63585	0.95
596	miss	v	162066	163.20	0.06	0.02	85296	0.99
597	evidence	n	162050	163.19	0.04	0.00	62768	0.96
598	product	n	161999	163.14	0.05	0.01	61151	0.95
599	realize	v	161762	162.90	0.01	0.00	90514	0.98
600	save	v	161469	162.60	0.09	0.01	82098	0.99
601	arm	n	161185	162.32	0.04	0.01	64190	0.92
602	technology	n	160819	161.95	0.15	0.01	53813	0.94
603	catch	v	160594	161.72	0.04	0.01	86139	0.97
604	comment	n	160451	161.58	0.11	0.01	68163	0.90
605	look	n	160145	161.27	0.07	0.01	85960	0.97
606	term	n	160014	161.14	0.03	0.00	76947	0.95
607	color	n	160011	161.14	0.27	0.22	58793	0.91
608	cover	v	159606	160.73	0.05	0.00	89143	0.98
609	describe	v	159521	160.64	0.02	0.00	81551	0.94
610	guess	v	159454	160.57	0.09	0.01	74761	0.96
611	choice	n	159277	160.40	0.05	0.01	82417	0.98
612	source	n	158588	159.70	0.11	0.02	74656	0.95
613	mom	n	158511	159.62	0.42	0.02	44697	0.95
614	soon	r	158194	159.31	0.14	0.01	95115	0.98
615	director	n	158028	159.14	0.19	0.01	79105	0.94
616	international	j	157724	158.83	0.39	0.01	62580	0.94
617	rule	n	157468	158.57	0.09	0.01	68457	0.96
618	campaign	n	157373	158.48	0.04	0.01	53146	0.92
619	ground	n	156706	157.81	0.04	0.01	80480	0.97
620	election	n	156532	157.63	0.08	0.00	45408	0.93
621	face	v	156455	157.55	0.05	0.01	95509	0.98
622	uh	u	156333	157.43	0.50	0.04	20977	0.84
623	check	v	155591	156.68	0.17	0.01	81879	0.98
624	page	n	154863	155.95	0.13	0.02	70358	0.95
625	fight	v	154643	155.73	0.04	0.01	75561	0.99
626	itself	p	154505	155.59	0.00	0.00	83882	0.96
627	test	n	154189	155.27	0.07	0.01	54429	0.95
628	patient	n	154125	155.21	0.05	0.00	28745	0.92
629	produce	v	154082	155.16	0.01	0.00	76157	0.95
630	certain	j	154059	155.14	0.03	0.00	87039	0.97
631	whatever	d	153872	154.95	0.24	0.01	84249	0.98
632	half	d	153688	154.77	0.07	0.01	92192	0.98
633	video	n	153563	154.64	0.17	0.11	57274	0.93
634	support	n	152769	153.84	0.03	0.00	72204	0.94
635	throw	v	152388	153.46	0.05	0.01	81552	0.98
636	third	m	152339	153.41	0.14	0.01	87846	0.97
637	care	v	152255	153.32	0.03	0.01	76051	0.98
638	rest	n	151864	152.93	0.02	0.01	91291	0.98
639	recent	j	151697	152.76	0.06	0.00	94988	0.95
640	available	j	151406	152.47	0.04	0.00	79886	0.95
641	step	n	151394	152.46	0.09	0.01	80572	0.97
642	ready	j	151349	149.22	0.09	0.01	82296	0.99
643	opportunity	n	151226	152.29	0.03	0.00	83390	0.96
644	official	n	150423	151.48	0.05	0.00	61231	0.91
645	oil	n	150410	151.47	0.08	0.01	38433	0.94
646	call	n	149896	150.95	0.05	0.01	76020	0.98
647	organization	n	149261	150.31	0.10	0.00	62984	0.94
648	character	n	148825	149.87	0.02	0.01	53211	0.95
649	single	j	148796	149.84	0.03	0.01	86412	0.98
650	current	j	148387	149.43	0.06	0.01	79887	0.95
651	likely	j	148216	149.26	0.01	0.00	78799	0.95
652	county	n	148165	149.21	0.64	0.02	46090	0.89
653	future	n	147923	148.96	0.06	0.01	80221	0.97
654	dad	n	147520	148.56	0.47	0.02	39306	0.94
655	whose	d	147491	148.53	0.03	0.00	90117	0.96
656	less	d	147290	148.32	0.05	0.01	90701	0.97
657	shoot	v	147137	148.17	0.06	0.01	63165	0.98
658	industry	n	146746	147.78	0.07	0.00	56592	0.95
659	second	n	146634	147.66	0.03	0.01	78795	0.99
660	list	n	146495	147.52	0.05	0.01	73459	0.97
661	general	j	146275	147.30	0.27	0.01	72113	0.95
662	stuff	n	145992	147.02	0.03	0.01	70375	0.97
663	figure	n	145812	146.84	0.33	0.03	57911	0.91
664	attention	n	145669	146.69	0.03	0.00	86128	0.98
665	forget	v	145557	146.58	0.12	0.01	77666	0.98
666	risk	n	145334	146.36	0.03	0.00	56856	0.94
667	no	r	144919	145.94	0.07	0.00	88099	0.98
668	focus	v	144896	145.91	0.05	0.01	83253	0.96
669	short	j	144842	145.86	0.03	0.00	88943	0.98
670	fire	n	144750	145.77	0.14	0.02	57547	0.98
671	dog	n	144648	145.66	0.10	0.01	44818	0.97
672	red	j	144046	145.14	0.31	0.01	67645	0.96
673	hair	n	143875	144.89	0.04	0.01	53431	0.91
674	point	v	143750	144.76	0.02	0.00	82724	0.97
675	condition	n	143732	144.74	0.02	0.00	65937	0.94
676	wall	n	143389	144.40	0.07	0.01	61525	0.94
677	daughter	n	142747	143.75	0.03	0.01	57454	0.98
678	before	r	142673	143.68	0.02	0.01	85107	0.98
679	deal	n	142589	143.59	0.06	0.01	71344	0.97
680	author	n	142352	143.35	0.17	0.01	66860	0.94
681	truth	n	142017	143.01	0.09	0.01	64199	0.98
682	upon	i	141420	142.41	0.06	0.00	68012	0.95
683	husband	n	141289	142.28	0.02	0.01	55523	0.98
684	period	n	141173	142.16	0.03	0.00	69553	0.94
685	series	n	140231	141.22	0.15	0.01	69042	0.95
686	order	n	140025	141.01	0.09	0.01	68533	0.98
687	officer	n	139938	140.92	0.16	0.02	48741	0.95
688	close	j	139704	140.69	0.03	0.01	88168	0.99
689	land	n	139579	140.56	0.09	0.01	53751	0.96
690	note	v	139111	140.09	0.17	0.02	75787	0.94
691	computer	n	139082	140.06	0.09	0.01	48822	0.96
692	thought	n	139016	139.99	0.06	0.01	72502	0.97
693	economy	n	138752	139.73	0.03	0.00	46459	0.94
694	goal	n	138693	139.67	0.03	0.01	65029	0.94
695	bank	n	138673	139.65	0.25	0.01	45045	0.96
696	behavior	n	138400	139.37	0.03	0.00	45520	0.89
697	sound	v	138386	139.36	0.12	0.01	76475	0.98
698	deal	v	138197	139.17	0.04	0.00	79163	0.97
699	certainly	r	138162	139.13	0.12	0.00	78410	0.95
700	nearly	r	138034	139.00	0.08	0.00	88516	0.96
701	increase	v	137709	138.68	0.02	0.00	66980	0.94
702	act	n	137668	138.64	0.41	0.02	61023	0.95
703	north	n	137666	138.63	0.66	0.02	65347	0.96
704	well	i	137599	138.57	0.00	0.00	83530	0.94
705	blood	n	137579	138.42	0.09	0.01	51593	0.98
706	culture	n	137140	138.10	0.07	0.00	50980	0.93
707	medical	j	136850	137.81	0.20	0.01	50912	0.96
708	ok	r	136788	137.75	0.96	0.84	34900	0.88
709	everybody	p	136787	137.75	0.26	0.01	64825	0.94
710	top	n	136658	137.62	0.12	0.02	77662	0.96
711	difficult	j	136474	137.43	0.01	0.00	84386	0.97
712	close	v	136431	137.39	0.08	0.02	74403	0.96
713	language	n	136124	137.08	0.07	0.00	48250	0.92
714	window	n	136043	137.00	0.08	0.01	54926	0.92
715	response	n	135942	136.90	0.08	0.00	62495	0.93
716	population	n	135733	136.69	0.04	0.00	47826	0.92
717	lie	v	135712	136.67	0.05	0.01	67260	0.98
718	tree	n	135666	136.62	0.07	0.01	47240	0.95
719	park	n	135440	136.39	0.54	0.02	49246	0.93
720	worker	n	135244	136.19	0.07	0.01	46178	0.95
721	draw	v	135022	135.97	0.04	0.00	78777	0.97
722	plan	v	135011	135.96	0.06	0.01	85326	0.98
723	drop	v	134220	135.16	0.06	0.01	78950	0.98
724	push	v	134206	135.15	0.05	0.01	77946	0.97
725	earth	n	134202	135.14	0.55	0.01	49455	0.97
726	cause	n	133998	134.94	0.16	0.01	62567	0.98
727	per	i	133974	134.92	0.08	0.03	57676	0.94
728	private	j	133907	134.85	0.07	0.01	64424	0.97
729	tonight	r	133341	134.28	0.18	0.03	45962	0.91
730	race	n	133182	134.12	0.07	0.01	48674	0.96
731	than	i	133168	134.10	0.00	0.00	77989	0.95
732	letter	n	132828	133.76	0.09	0.01	54985	0.98
733	other	p	132728	133.66	0.01	0.01	71746	0.98
734	gun	n	132572	133.50	0.06	0.01	39335	0.97
735	simple	j	132004	132.93	0.06	0.01	79677	0.97
736	course	n	131911	132.84	0.05	0.00	59769	0.94
737	wonder	v	131649	132.57	0.03	0.00	74181	0.96
738	involve	v	131275	132.20	0.01	0.00	76253	0.96
739	hell	n	131265	132.19	0.17	0.02	48207	0.94
740	poor	j	131105	132.03	0.10	0.00	65448	0.98
741	each	p	130754	131.67	0.01	0.01	70546	0.98
742	answer	n	130534	131.45	0.03	0.01	72837	0.98
743	nature	n	130378	131.29	0.12	0.01	61436	0.94
744	administration	n	130297	131.21	0.20	0.00	50599	0.94
745	common	j	130294	131.21	0.08	0.00	70673	0.95
746	no	p	130206	131.12	0.28	0.01	74565	0.98
747	hard	r	129919	130.83	0.06	0.01	79019	0.98
748	message	n	129799	130.71	0.03	0.01	65268	0.98
749	song	n	129648	130.56	0.08	0.01	39162	0.97
750	enjoy	v	129575	130.49	0.07	0.01	78092	0.97
751	similar	j	129272	130.18	0.05	0.00	75458	0.94
752	congress	n	128923	129.83	0.95	0.00	41966	0.93
753	attack	n	128893	129.80	0.02	0.00	53279	0.96
754	past	j	128832	129.74	0.02	0.00	84526	0.96
755	hot	j	128310	129.21	0.12	0.02	66604	0.97
756	seek	v	128234	128.45	0.03	0.00	73009	0.95
757	amount	n	128075	128.97	0.01	0.00	72430	0.96
758	analysis	n	128029	128.93	0.10	0.01	40685	0.85
759	store	n	127984	128.88	0.08	0.01	56303	0.97
760	defense	n	127924	128.82	0.21	0.01	50452	0.95
761	bill	n	127919	128.82	0.10	0.01	47823	0.94
762	like	c	127828	128.73	0.06	0.00	68874	0.97
763	cell	n	127818	128.72	0.05	0.01	34365	0.91
764	away	i	127427	128.32	0.02	0.01	79997	0.98
765	performance	n	127318	128.21	0.06	0.01	50714	0.92
766	hospital	n	127317	128.21	0.19	0.01	45392	0.98
767	bed	n	127232	128.13	0.03	0.01	51680	0.93
768	board	n	127202	128.10	0.24	0.01	55743	0.96
769	protect	v	126672	127.56	0.04	0.01	68241	0.98
770	century	n	126668	127.56	0.09	0.01	56179	0.95
771	summer	n	126418	127.31	0.11	0.01	67378	0.96
772	material	n	126254	127.14	0.05	0.01	54548	0.93
773	individual	n	125578	126.46	0.04	0.00	50722	0.92
774	recently	r	125532	126.41	0.08	0.00	87082	0.96
775	example	n	125442	126.32	0.07	0.00	63363	0.94
776	represent	v	125330	126.21	0.01	0.00	65850	0.94
777	fill	v	125249	126.13	0.04	0.00	78021	0.97
778	state	v	125064	125.94	0.12	0.01	62715	0.94
779	place	v	124900	125.78	0.10	0.01	72856	0.96
780	animal	n	124835	125.71	0.09	0.01	42365	0.97
781	fail	v	124675	125.55	0.03	0.01	72233	0.97
782	factor	n	123915	124.79	0.07	0.01	49117	0.89
783	natural	j	123788	124.66	0.11	0.01	58375	0.95
784	sir	n	123629	124.50	0.28	0.02	28781	0.90
785	agency	n	123524	124.39	0.16	0.00	48818	0.94
786	usually	r	123303	124.17	0.09	0.00	77371	0.97
787	significant	j	123040	123.90	0.02	0.00	56677	0.89
788	help	n	123017	123.88	0.04	0.01	74274	0.99
789	ability	n	122943	123.81	0.01	0.00	67073	0.94
790	mile	n	122899	123.76	0.04	0.01	57403	0.96
791	statement	n	122852	123.72	0.03	0.00	60623	0.95
792	entire	j	122397	123.26	0.01	0.01	78829	0.98
793	democrat	n	122325	123.18	0.95	0.00	32423	0.90
794	floor	n	122291	123.15	0.03	0.01	55999	0.94
795	serious	j	122251	123.11	0.03	0.01	74943	0.99
796	career	n	122177	122.21	0.04	0.01	62514	0.96
797	dollar	n	121984	122.84	0.04	0.01	59218	0.97
798	vote	v	121578	122.43	0.04	0.01	40071	0.93
799	sex	n	121352	122.20	0.09	0.01	38006	0.98
800	compare	v	120978	121.83	0.08	0.00	65231	0.94
801	south	n	120894	121.74	0.62	0.01	58444	0.96
802	forward	r	120845	121.72	0.03	0.01	71495	0.97
803	subject	n	120773	121.62	0.05	0.00	54002	0.92
804	financial	j	120726	121.57	0.12	0.01	50095	0.94
